Gene stable ID	Gene name
AGAP005633	
AGAP005634	
AGAP005635	
AGAP005636	
AGAP005637	
AGAP005638	
AGAP005639	ABCB2
AGAP005640	
AGAP005641	
AGAP005642	
AGAP005643	
AGAP005644	
AGAP005645	
AGAP005646	
AGAP005647	
AGAP005648	
AGAP005649	
AGAP005650	
AGAP005651	
AGAP005652	
AGAP005653	
AGAP005654	
AGAP005655	CYC
AGAP005656	CYP305A1
AGAP005657	CYP305A3
AGAP005658	CYP15B1
AGAP005659	
AGAP005660	CYP305A4
AGAP005661	
AGAP005662	
AGAP005663	
AGAP005664	
AGAP005665	
AGAP005666	
AGAP005667	
AGAP005668	
AGAP005669	
AGAP005670	
AGAP005671	
AGAP005672	
AGAP005673	
AGAP005674	
AGAP005675	
AGAP005677	IR133
AGAP005678	IR134
AGAP005679	IR135
AGAP005680	
AGAP005681	GPRNNA21
AGAP005682	
AGAP005683	
AGAP005684	
AGAP005685	
AGAP005686	
AGAP005687	
AGAP005688	
AGAP005689	
AGAP005690	
AGAP005691	
AGAP005693	LRIM17
AGAP005695	CPTC2
AGAP005696	CPTC1
AGAP005697	CPTC3
AGAP005698	CPTC4
AGAP005699	
AGAP005700	Med14
AGAP005701	
AGAP005702	
AGAP005703	
AGAP005704	
AGAP005705	
AGAP005706	
AGAP005707	
AGAP005708	
AGAP005709	
AGAP005710	
AGAP005711	CLK
AGAP005712	
AGAP005713	
AGAP005714	
AGAP005715	
AGAP005716	SCRB16
AGAP005717	LYSC6
AGAP005718	
AGAP005719	
AGAP005720	
AGAP005721	
AGAP005722	
AGAP005723	
AGAP005724	
AGAP007040	CPR61
AGAP006497	CPR134
AGAP005727	
AGAP005728	
AGAP005729	
AGAP005731	
AGAP005732	
AGAP005733	
AGAP005734	
AGAP005735	
AGAP005736	
AGAP005737	
AGAP005738	
AGAP005739	
AGAP005740	
AGAP005741	
AGAP005742	
AGAP005743	
AGAP005744	LRIM26
AGAP005745	
AGAP005746	
AGAP005747	
AGAP005748	
AGAP005749	GSTO1
AGAP005750	
AGAP005751	
AGAP005752	
AGAP005753	
AGAP005754	
AGAP005755	
AGAP005756	COEAE1D
AGAP005757	COEAE2E
AGAP005758	COEAE3D
AGAP005759	
AGAP005760	Or33
AGAP028406	
AGAP005761	
AGAP005762	
AGAP005763	
AGAP005764	
AGAP005765	
AGAP006077	OBP51
AGAP005767	
AGAP005769	
AGAP005770	
AGAP005771	
AGAP005772	
AGAP005773	
AGAP005774	CYP49A1
AGAP005775	
AGAP005776	PDH
AGAP005777	
AGAP005778	
AGAP005779	
AGAP005780	
AGAP005781	
AGAP005782	ASNA1
AGAP005783	
AGAP005784	
AGAP005785	
AGAP005786	
AGAP005787	
AGAP005788	
AGAP005789	
AGAP005790	
AGAP005791	
AGAP005792	
AGAP005793	
AGAP005794	
AGAP005795	
AGAP005796	
AGAP005797	
AGAP005411	
AGAP005800	
AGAP005801	
AGAP005802	RpL8
AGAP005804	
AGAP005805	
AGAP005808	
AGAP004921	CASPS5
AGAP004920	CASPS6
AGAP005809	
AGAP005810	
AGAP005811	
AGAP005812	
AGAP005813	
AGAP005814	
AGAP005815	
AGAP005816	
AGAP005817	
AGAP005818	
AGAP005819	
AGAP005820	
AGAP005822	
AGAP005823	
AGAP005824	
AGAP005825	
AGAP005826	
AGAP005828	
AGAP005829	
AGAP005830	
AGAP005831	
AGAP005832	
AGAP005833	COEJHE1E
AGAP005834	COEJHE2E
AGAP005835	COEJHE3E
AGAP005836	COEJHE4E
AGAP005837	COEJHE5E
AGAP005838	
AGAP005839	
AGAP005840	
AGAP005842	
AGAP005843	
AGAP005844	
AGAP005845	
AGAP005846	
AGAP005847	
AGAP005848	
AGAP005849	
AGAP005850	
AGAP005851	
AGAP005852	
AGAP005853	
AGAP005854	
AGAP005855	
AGAP005856	
AGAP005857	
AGAP005858	
AGAP005859	
AGAP005860	
AGAP005861	
AGAP005862	
AGAP005863	
AGAP005864	
AGAP005865	
AGAP005866	
AGAP005869	
AGAP005870	
AGAP005871	
AGAP005872	
AGAP005873	
AGAP005874	
AGAP005880	
AGAP005881	
AGAP005882	
AGAP005883	
AGAP005884	
AGAP005885	
AGAP005886	
AGAP005887	
AGAP005888	
AGAP005889	
AGAP005890	
AGAP005891	
AGAP005892	
AGAP005893	
AGAP005894	
AGAP005895	
AGAP005896	
AGAP005897	
AGAP005898	
AGAP005899	
AGAP005901	
AGAP005902	
AGAP005903	
AGAP005904	
AGAP005905	
AGAP005906	Med24
AGAP005907	
AGAP005908	
AGAP005909	Med8
AGAP005910	APG18B
AGAP005911	
AGAP005912	
AGAP005913	
AGAP005914	SP11644
AGAP005915	
AGAP005916	
AGAP005917	
AGAP005918	
AGAP005919	
AGAP005920	
AGAP005921	
AGAP005922	
AGAP005923	
AGAP005924	
AGAP005925	
AGAP005926	
AGAP005927	
AGAP005928	
AGAP005929	
AGAP005930	
AGAP005931	
AGAP005932	
AGAP005933	
AGAP005934	
AGAP005935	
AGAP005936	
AGAP005937	
AGAP005938	
AGAP005939	
AGAP005940	
AGAP005941	
AGAP005942	
AGAP005943	
AGAP005944	
AGAP005945	pnp
AGAP005946	
AGAP005947	RpS13
AGAP005948	
AGAP005949	
AGAP005951	
AGAP005952	
AGAP005953	
AGAP005954	
AGAP005955	
AGAP005956	
AGAP005957	
AGAP005958	
AGAP005959	
AGAP005960	RpL7a
AGAP005961	
AGAP005962	
AGAP005963	
AGAP005964	
AGAP005965	
AGAP005966	CPR17
AGAP005967	CPR18
AGAP005968	CPR19
AGAP005969	CPR20
AGAP005970	
AGAP005971	
AGAP005972	
AGAP005973	
AGAP005975	
AGAP005976	
AGAP005977	
AGAP005978	
AGAP005979	
AGAP005980	
AGAP005981	
AGAP005982	
AGAP005983	
AGAP005984	
AGAP005985	
AGAP005986	
AGAP005987	
AGAP005988	
AGAP005989	
AGAP005990	
AGAP005991	RpL14
AGAP005992	CYP302A1
AGAP005993	
AGAP005994	
AGAP005995	CPR138
AGAP005996	CPR21
AGAP005997	CPR22
AGAP005998	CPR23
AGAP005999	CPR24
AGAP006000	CPR25
AGAP006001	CPR26
AGAP006002	CPR137
AGAP006003	CPR27
AGAP006004	CPR102
AGAP006005	CPR103
AGAP006006	CPR104
AGAP006007	CPR28
AGAP006008	CPR29
AGAP006009	CPR30
AGAP006010	CPR105
AGAP006011	CPR31
AGAP006012	CPR32
AGAP006013	CPR33
AGAP006014	
AGAP006015	
AGAP006016	
AGAP006017	
AGAP006018	
AGAP006019	
AGAP006020	
AGAP006021	
AGAP006022	Bhlh_PAS
AGAP006023	
AGAP006024	
AGAP006025	
AGAP006026	
AGAP006027	
AGAP006028	
AGAP006029	
AGAP006030	mfrn
AGAP006031	
AGAP006032	
AGAP006033	
AGAP006034	
AGAP006035	
AGAP006036	
AGAP006037	RpL24
AGAP006038	
AGAP006039	
AGAP006040	
AGAP006041	
AGAP006042	
AGAP006043	
AGAP006044	
AGAP006045	
AGAP006046	Med23
AGAP006047	CYP4J9
AGAP006048	CYP4J5
AGAP006049	CYP4J10
AGAP006050	
AGAP006051	
AGAP006052	
AGAP006053	
AGAP006054	
AGAP006055	
AGAP006056	
AGAP006057	
AGAP006058	
AGAP006059	
AGAP006060	
AGAP006061	
AGAP006062	
AGAP006063	
AGAP006064	
AGAP006065	
AGAP028710	
